config_id,config_name,initial_equity,risk_per_unit_pct,max_positions,enable_longs,enable_shorts,enable_system1,enable_system2,balance_long_short_units,seed,final_equity,total_pnl,total_return_pct,num_trades,max_drawdown_pct,win_rate,system1_long_pnl,system1_long_count,system1_long_win_rate,system1_short_pnl,system1_short_count,system1_short_win_rate,system2_long_pnl,system2_long_count,system2_long_win_rate,system2_short_pnl,system2_short_count,system2_short_win_rate
b1fe8670e7c6b596b71adeccc1e5c7b1,long_short_system1_seed56_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,56.0,3514415.3713770886,3504415.3713770886,35044.15371377089,576.0,33.05611919406065,31.770833333333332,1262518.4995799891,162.0,38.88888888888889,1388558.480501947,414.0,28.985507246376812,0.0,0.0,0.0,0.0,0.0,0.0
43c7d03aa2bad59fc1b2f81360fcb532,long_short_system1_seed57_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,57.0,4212889.674306726,4202889.674306726,42028.89674306726,580.0,32.36697997596687,30.0,1351052.3739202705,143.0,38.46153846153847,2637140.325215382,437.0,27.23112128146453,0.0,0.0,0.0,0.0,0.0,0.0
05b2996442943aa2ab06b1d0de63fd37,long_short_system1_seed54_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,54.0,2172294.1760141584,2162294.1760141584,21622.941760141584,622.0,41.07973490087342,29.7427652733119,335034.0887397908,169.0,31.360946745562128,1393322.5027770463,453.0,29.13907284768212,0.0,0.0,0.0,0.0,0.0,0.0
3cd43bdaf23235b81ca58b6e79d20e01,long_short_system1_seed55_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,55.0,3928268.9442056585,3918268.9442056585,39182.68944205659,559.0,27.029695467176055,31.84257602862254,725334.6330535681,144.0,38.88888888888889,1320573.539751938,415.0,29.397590361445783,0.0,0.0,0.0,0.0,0.0,0.0
1e70051c5d6e935b620089dc62b222ee,long_short_system1_seed58_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,58.0,6510978.628147582,6500978.628147582,65009.78628147582,593.0,31.602803116419977,31.365935919055648,1309616.614968605,174.0,36.7816091954023,2821863.215977021,419.0,29.116945107398568,0.0,0.0,0.0,0.0,0.0,0.0
f97da0acb400519ad898988901c2af93,long_short_system1_seed59_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,59.0,6559080.284941509,6549080.284941509,65490.80284941509,556.0,30.779720054212024,32.37410071942446,1012997.8689301128,138.0,42.7536231884058,4575299.018520833,418.0,28.947368421052634,0.0,0.0,0.0,0.0,0.0,0.0
a5a2eedeaa314f09bbd7b74f4ff8e90a,long_short_system1_seed60_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,60.0,2262287.957403787,2252287.957403787,22522.87957403787,558.0,21.55633694112591,32.61648745519714,846127.630417955,148.0,43.24324324324324,1216251.906864093,410.0,28.78048780487805,0.0,0.0,0.0,0.0,0.0,0.0
7d5e7f9bb897d1740ce59f34ad3c97df,long_short_system1_seed63_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,63.0,627168.3623510723,617168.3623510723,6171.683623510722,585.0,31.61832969730989,30.94017094017094,254978.40063665737,158.0,44.303797468354425,237033.33411140105,427.0,25.995316159250585,0.0,0.0,0.0,0.0,0.0,0.0
73ba8a36f63d5252a92d384c2da71e1f,long_short_system1_seed62_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,62.0,2500178.4146061055,2490178.4146061055,24901.784146061054,579.0,24.42807881700935,34.196891191709845,691576.565985979,152.0,47.368421052631575,1509900.694327125,427.0,29.50819672131147,0.0,0.0,0.0,0.0,0.0,0.0
fb5ab50b7721a4ed9da568c44c55ee38,long_short_system1_seed61_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,61.0,1876855.054944132,1866855.054944132,18668.55054944132,598.0,32.27574743514573,31.270903010033447,503072.43703576666,170.0,39.411764705882355,1259325.9767437875,428.0,28.037383177570092,0.0,0.0,0.0,0.0,0.0,0.0
7723b9201bdc77ec462e43f98109b5b5,long_short_system1_seed67_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,67.0,1207013.4475242058,1197013.4475242058,11970.134475242055,608.0,42.55228023056511,30.427631578947366,511081.3225885501,172.0,38.372093023255815,592537.1242115243,436.0,27.293577981651374,0.0,0.0,0.0,0.0,0.0,0.0
1ecd8dbafd4e0624d5cc360dbfea16a2,long_short_system1_seed65_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,65.0,2248737.784114112,2238737.784114112,22387.37784114112,581.0,35.620930779246436,31.153184165232357,158096.3431564162,146.0,41.0958904109589,1111856.8352651256,435.0,27.816091954022987,0.0,0.0,0.0,0.0,0.0,0.0
7f3bd4cc0eab11be4082fb0b5e4d213a,long_short_system1_seed64_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,64.0,4959868.287229614,4949868.287229614,49498.68287229614,595.0,51.26625734197698,32.94117647058823,1681188.2646801088,147.0,44.21768707482993,1655752.480926486,448.0,29.24107142857143,0.0,0.0,0.0,0.0,0.0,0.0
64407bf3fe6ab1c50197166613fdcd04,long_short_system1_seed66_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,66.0,2041337.238751403,2031337.238751403,20313.37238751403,564.0,32.91514637124939,31.73758865248227,849713.8226468839,161.0,39.130434782608695,910493.9465084202,403.0,28.78411910669975,0.0,0.0,0.0,0.0,0.0,0.0
6044c4196e7158119f484e4c4ee19818,long_short_system1_seed68_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,68.0,6165645.097961397,6155645.097961397,61556.45097961396,548.0,33.01509741433899,32.299270072992705,3553624.1041558348,160.0,43.125,1757767.0674901323,388.0,27.835051546391753,0.0,0.0,0.0,0.0,0.0,0.0
b7be156935b8d4135ddecff7d5125893,long_short_system1_seed69_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,69.0,913553.846188469,903553.846188469,9035.53846188469,560.0,29.85909954928745,31.428571428571427,385393.0052070794,154.0,43.506493506493506,404294.78743051144,406.0,26.84729064039409,0.0,0.0,0.0,0.0,0.0,0.0
